feature,importance
logfat_risk3_3m_avg,0.11463667141373315
logfat_risk3_lag1,0.08455740422845348
logfat_risk3_lag2,0.07945784602327585
logfat_risk3_6m_avg,0.06503137146139709
logfat_risk_12,0.06301351888789647
logfat_risk12_6m_avg,0.0578352210630422
logfat_risk_3,0.050929359426741865
logfat_risk12_lag1,0.046525179908206385
logfat_risk12_3m_avg,0.03993316194038662
risk12_6m_avg,0.038202976161322205
risk12_lag1,0.034742314160977554
logfat_risk12_lag2,0.032241742653043755
VU,0.031033910429557988
INFORM,0.026091348935167468
risk_12,0.025502792347306708
risk12_3m_avg,0.024363401386118148
risk12_lag2,0.024116840434289046
HA,0.02196931423779112
risk_3,0.02067166641120751
CC,0.018262158554632434
risk3_6m_avg,0.01664726987370105
risk3_lag2,0.01232316554294599
risk3_change_2m,0.010782904842030972
logfat_risk12_change_2m,0.01042464682400476
risk3_3m_avg,0.00999862682587403
risk12_change_2m,0.009899665158552784
logfat_risk3_change_2m,0.009554543594282821
risk3_lag1,0.008838338542577838
hdx_3m_sum,0.004201919419316031
hdx_medium_3m_sum,0.00261456851023875
hdx_value,0.001427645612197429
mean_value_hdx,0.0011586218334755905
hdx_high_3m_sum,0.0007778889300709869
risk_gt_025,0.00045930964250802777
logfat_risk_12_high_last_5m,0.00038156596204413223
logfat_risk_3_high_last_5m,0.0003638379359231989
hdx_alert_Medium concern,0.0003197240731370932
hdx_med_high_count,0.00029866749141879397
logfat_risk_3_gt_4,0.00020784959770844095
logfat_risk_12_above_5,0.00015532537674048947
hdx_alert_High concern,4.571434670368262e-05
INFORM_above_06,1.0702403651961827e-16
INFORM_high_last_5m,8.654812092295264e-17
