feature,importance
logfat_risk3_3m_avg,0.09993403038861605
logfat_risk3_6m_avg,0.08410800088417116
logfat_risk_3,0.08299970593905316
logfat_risk3_lag2,0.0644635592672433
logfat_risk3_lag1,0.06400994084020833
logfat_risk_12,0.048894194588279524
logfat_risk12_3m_avg,0.04853482621864433
logfat_risk12_6m_avg,0.048301256917295594
logfat_risk12_lag2,0.04729304754490641
logfat_risk12_lag1,0.04670563023352638
risk12_6m_avg,0.03202638096805864
risk12_lag1,0.026908976764589084
VU,0.026595478461169886
risk12_3m_avg,0.025846132715576797
INFORM,0.02546466810433763
HA,0.02384652122099966
risk_12,0.022990052330008982
risk3_lag1,0.018825569860764547
CC,0.018070832908526256
risk12_lag2,0.01790364501482242
risk3_3m_avg,0.017494920577951
risk3_6m_avg,0.014983270100171456
protracted_signal,0.010397137097580467
risk3_change_2m,0.010148344266181109
risk12_change_2m,0.009951828298253505
logfat_risk3_change_2m,0.009841959085121324
logfat_risk12_change_2m,0.009804884915199676
risk_3,0.009044700762833877
risk3_lag2,0.008888006272642414
p_sig2,0.00880238184274547
hdx_3m_sum,0.004051784994587993
logfat_risk_12_high_last_5m,0.0021852813971426667
hdx_medium_3m_sum,0.001880073310322096
hdx_value,0.0018322393775780125
mean_value_hdx,0.0015607265317673842
hdx_high_3m_sum,0.0008851056789556212
h_sig2,0.0008097737369424675
hdx_med_high_count,0.0005220065831078155
hard_onset_signal,0.0004592225165009215
logfat_risk_3_high_last_5m,0.0004457511669120733
logfat_risk_3_gt_4,0.00043992301552759445
risk_gt_025,0.00038931579942213645
hdx_alert_High concern,0.0003731871098322738
logfat_risk_12_above_5,0.0003423614989831787
p_sig3,0.0003012507271575513
hdx_alert_Medium concern,0.0002977562792765269
p_sig1,0.0001443558865052001
INFORM_high_last_5m,8.082297862049741e-17
INFORM_above_06,4.0383108641089984e-17
h_sig1,3.599425610931181e-18
