feature,importance
logfat_risk3_lag2,0.13268942428921776
logfat_risk3_3m_avg,0.0985728630633259
logfat_risk_3,0.08207232045788414
logfat_risk12_6m_avg,0.07061950540386454
logfat_risk3_6m_avg,0.06958984431839368
logfat_risk3_lag1,0.05949460652542991
logfat_risk_12,0.04228831637558352
logfat_risk12_lag2,0.04207651763820526
logfat_risk12_lag1,0.04114716962980389
logfat_risk12_3m_avg,0.03932968964881455
risk_12,0.036972945042521244
risk12_lag1,0.027176724182610343
risk3_3m_avg,0.024939424747899622
risk12_lag2,0.024435497619870187
risk3_lag1,0.02258890211346265
risk3_6m_avg,0.021590199941813472
risk12_6m_avg,0.018570313155043122
risk12_3m_avg,0.01834325773459542
risk_3,0.016913654676277555
p_sig2,0.014295562103222787
logfat_risk12_change_2m,0.0137944827758164
risk3_change_2m,0.013673582542743302
risk3_lag2,0.013448257298625923
protracted_signal,0.011844653053065925
risk12_change_2m,0.010874966853430486
logfat_risk3_change_2m,0.009928576444866367
hdx_3m_sum,0.006805747142048263
hdx_medium_3m_sum,0.0028382825492652515
hdx_high_3m_sum,0.0026007094158977478
hdx_value,0.0024273538448754983
mean_value_hdx,0.0017045824605209777
logfat_risk_3_gt_4,0.0008939232191805599
hard_onset_signal,0.0008225124983768594
logfat_risk_12_high_last_5m,0.0008161106462820847
risk_gt_025,0.0007992876750478828
h_sig2,0.0007016993722609971
hdx_med_high_count,0.0005263554231830257
logfat_risk_12_above_5,0.000429824117560501
hdx_alert_Medium concern,0.0003488684196973519
logfat_risk_3_high_last_5m,0.00034402621474894003
p_sig3,0.0003150117098780968
hdx_alert_High concern,0.0002105568287401245
p_sig1,0.00014013126496581209
h_sig1,3.759561082272508e-06
